제조사,모델그룹,모델명,국비(만원),지방비(만원),보조금(만원)
테슬라코리아,Model Y,New Model Y Long Range,207,107,314
테슬라코리아,Model Y,New Model Y RWD,188,97,285
메르세데스벤츠코리아,EQB,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),152,78,230
메르세데스벤츠코리아,EQB,(단종)EQB300 4MATIC(Pre-Facelift)(7인승),152,78,230
메르세데스벤츠코리아,EQA,EQA250(Facelift),190,98,288
메르세데스벤츠코리아,EQB,EQB300 4MATIC(Facelift)(5인승),154,79,233
메르세데스벤츠코리아,EQB,EQB300 4MATIC(Facelift)(7인승),154,79,233
폭스바겐그룹코리아,아우디 Q4,(단종)아우디 Q4 40 e-tron,201,103,304
폭스바겐그룹코리아,아우디 Q4,(단종)아우디 Q4 Sportback 40 e-tron,202,104,306
폭스바겐그룹코리아,폭스바겐 ID.4,(단종)폭스바겐 2024 ID.4 Pro,422,218,640
폭스바겐그룹코리아,폭스바겐 ID.5,(단종)폭스바겐 ID.5 Pro,215,111,326
폭스바겐그룹코리아,폭스바겐 ID.4,폭스바겐 ID.4 Pro,422,218,640
폭스바겐그룹코리아,아우디 Q4,아우디 Q4 Sportback 45 e-tron,201,103,304
폭스바겐그룹코리아,아우디 Q4,아우디 Q4 45 e-tron,201,103,304
폭스바겐그룹코리아,아우디 Q6,아우디 Q6 e-tron performance,220,113,333
케이지모빌리티,토레스 EVX,토레스 EVX 2WD 18인치,373,184,557
케이지모빌리티,토레스 EVX,토레스 EVX 2WD 20인치,356,175,531
케이지모빌리티,코란도 EV,코란도 EV 2WD,340,175,515
케이지모빌리티,토레스 EVX,토레스 EVX 18인치,364,188,552
케이지모빌리티,토레스 EVX,토레스 EVX 20인치,354,183,537
폴스타오토모티브코리아,Polestar 4,Polestar 4 Long Range Single Motor,181,93,274
폴스타오토모티브코리아,Polestar 4,Polestar 4 Long Range Dual Motor 22인치,141,72,213
폴스타오토모티브코리아,Polestar 4,Polestar 4 Long Range Dual Motor 20 * 21인치,168,86,254
볼보자동차코리아,EX30,볼보 EX30 Single Motor ER,247,127,374
볼보자동차코리아,EX30,볼보 EX 30cc Twin,111,57,168
비와이디코리아,ATTO 3,BYD ATTO 3,145,75,220
비와이디코리아,SEAL,byd seal dynamic awd,178,92,270
